,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
312,3,0.8333333333333333,0.75,1.0,0.75,3.6585083111061096,5.14990926637343,3.8152981264298385
313,3,0.8333333333333333,1.0,1.0,1.0,3.676439348666431,5.193477298683524,3.9322596670923433
314,3,0.8333333333333333,1.0,,0.875,3.811966616927296,,4.352126914267648
315,3,0.8333333333333333,0.75,,,3.915541958267997,,
316,3,0.8333333333333333,0.875,1.0,0.875,3.7690061263080574,5.415991496813299,3.8919433206907676
317,3,0.8333333333333333,0.875,0.75,0.875,3.7549051371741466,5.713549539558317,4.056468353676218
318,3,0.8333333333333333,1.0,1.0,1.0,3.988122525483996,5.4429766884799555,3.8767082226582117
319,3,0.8333333333333333,1.0,0.875,1.0,3.687168378476229,5.403449603403442,3.932521988663846
320,3,0.8333333333333333,,,,,,
321,3,0.8333333333333333,,,,,,
322,3,0.8333333333333333,,,,,,
323,3,0.8333333333333333,0.75,1.0,0.75,3.636348295080752,5.402550877256279,3.882068038725026
324,3,0.8333333333333333,1.0,1.0,1.0,3.8276568444007366,5.33248582290321,3.949032643383947
325,3,0.8333333333333333,1.0,1.0,1.0,3.7238943467270293,5.421052314155894,3.820505751437474
326,3,0.8333333333333333,,,,,,
327,3,0.8333333333333333,0.75,1.0,0.875,3.6699807053654236,5.479684209140123,3.6706775510805283
328,3,0.8333333333333333,1.0,1.0,1.0,3.851950898988693,5.822489415299556,3.7899076827754428
329,3,0.8333333333333333,1.0,,0.875,3.6527821875956725,,4.078524607474405
330,3,0.8333333333333333,1.0,0.75,1.0,3.9293961026421114,5.676744907309246,3.9468987180939488
331,3,0.8333333333333333,0.875,1.0,1.0,3.4078716927788966,4.604082729427166,3.5728942655375797
332,3,0.8333333333333333,0.5,0.75,0.5,3.6989349259305255,5.291656039981799,3.977946921146022
333,3,0.8333333333333333,,1.0,1.0,,5.27412972918392,4.456871410498428
334,3,0.8333333333333333,1.0,0.75,0.75,3.633385027214886,4.8298230627570575,3.995454399935496
335,3,0.8333333333333333,1.0,1.0,0.625,3.986569062268673,5.3750244170319785,4.08626070062235
336,3,0.8333333333333333,0.9166666666666666,0.75,0.8333333333333334,3.5024466558686087,4.914437299626427,3.5967211042120493
337,3,0.8333333333333333,0.75,1.0,1.0,3.732857932904956,5.614918219853148,3.8678806212198245
338,3,0.8333333333333333,1.0,1.0,1.0,3.845764629909214,5.3613087831247865,4.058944191553499
339,3,0.8333333333333333,1.0,0.875,1.0,3.7272467333596415,5.616684786193984,3.920160274704372
340,3,0.8333333333333333,1.0,,1.0,3.573440299734191,,3.917984342900529
341,3,0.8333333333333333,1.0,0.875,1.0,3.672784179451264,5.119819850152215,3.9582075462820163
342,3,0.8333333333333333,1.0,1.0,1.0,4.085818095952286,5.587280454203899,4.44258069939853
343,3,0.8333333333333333,1.0,0.75,1.0,4.021725336046567,5.8858167131558545,4.1277918819808415
344,3,0.8333333333333333,,,0.75,,,4.61636013756927
345,3,0.8333333333333333,1.0,,0.75,3.726803612227649,,4.079584362463796
346,3,0.8333333333333333,1.0,1.0,1.0,3.877500299802386,5.489125626757498,4.137630669498147
347,3,0.8333333333333333,0.875,,0.875,3.546889379920627,,3.8762037134061895
348,3,0.8333333333333333,1.0,,1.0,3.868239425175185,,4.123902525779073
349,3,0.8333333333333333,0.875,,1.0,3.681440888550346,,3.9289394921583636
350,3,0.8333333333333333,1.0,,1.0,3.852445744888138,,4.287318037796623
351,3,0.8333333333333333,1.0,,1.0,3.658251561404679,,4.203892501143086
352,3,0.8333333333333333,0.9166666666666666,1.0,0.875,3.3315802046713276,5.129401968973447,3.543736916315898
353,3,0.8333333333333333,1.0,,0.875,3.70850835264016,,3.9284248670162536
354,3,0.8333333333333333,1.0,1.0,1.0,3.6940682680491848,5.2246770063531764,3.859095130219934
355,3,0.8333333333333333,1.0,1.0,0.875,3.718449357643525,5.40867488942561,3.9453457335969238
356,3,0.8333333333333333,0.875,0.875,0.8333333333333334,3.8370194571846863,5.488538702865559,3.9523310968016516
357,3,0.8333333333333333,0.75,0.75,0.75,3.669790909411736,5.36131245965007,4.080286700867645
358,3,0.8333333333333333,1.0,0.875,1.0,3.7821219657440612,5.199212599952251,3.947871568015266
359,3,0.8333333333333333,1.0,0.75,0.875,3.5769823425374914,5.078672828043803,3.937614259227342
360,3,0.8333333333333333,0.75,,1.0,3.888954538844896,,4.2335494668392215
361,3,0.8333333333333333,1.0,1.0,0.9166666666666666,3.7840039815957502,5.654119649445324,4.103971969877412
362,3,0.8333333333333333,,1.0,,,5.550378140428292,
